name,date,category,max_wind,storm_surge,track_distance,forward_speed,month,closure_hours
Josephine,1996-10-07,1,72,5.5,100,16,10,18
Gabrielle,2001-09-14,1,70,3.0,55,11,9,12
Frances,2004-09-05,1,70,4.0,20,6,9,16
Jeanne,2004-09-26,1,67,4.0,30,11,9,14
Fay,2008-08-19,1,60,3.0,40,5,8,22
Debby (2012),2012-06-25,1,51,4.07,125,7,6,48
Andrea,2013-06-06,1,48,3.0,100,15,6,6
Hermine,2016-09-01,1,63,4.09,145,14,9,27
Irma,2017-09-10,1,75,4.0,50,14,9,22
Eta,2020-11-12,1,65,4.0,80,10,11,18
Elsa,2021-07-06,1,65,3.0,40,14,7,18
Ian,2022-09-28,4,150,5.0,60,9,9,27
Nicole,2022-11-10,1,50,2.0,120,13,11,9
Idalia,2023-08-30,3,70,6.0,120,18,8,12
Debby,2024-08-05,1,80,3.0,150,2,8,40
Helene,2024-09-26,4,140,7.0,100,24,9,29
Milton,2024-10-09,3,120,9.0,20,16,10,24
